Sõna,Sõnaliik,Muuttüüp
lõppotsus,S,9
lõpp-peatus,"S,S","11,9"
lõpp-punkt,S,22
lõpptulemus,S,11
lõppu tegema,V,28
lõppvariant,S,22
lõppvoor,S,22
lõppvõistlus,"S,S","11,9"
lõpueksam,S,2
lõpuhetk,S,22
lõpujoon,S,13
lõpukaader,S,2
lõpukaart,S,22
lõpukadu,S,18
lõpukilomeeter,S,2
lõpuklass,S,22
lõpukord,S,22
lõpukorral,D,-
lõpuks,D,-
lõpukuu,S,26
lõpul,D,-
lõpule jõudma,V,34
lõpulejõudmine,"S,S","12,10"
lõpule saama,V,37
lõpuleviidus,"S,S","11,9"
lõpule viima,V,38
lõpuminut,S,2
lõpuosa,S,17
lõpupoole,D,-
lõpupäev,S,22
lõpusene,S,12
lõpusireen,S,22
lõpusirge,S,1
lõpus,S,9
lõpuspurt,S,22
lõputa,A,-
lõputegemine,S,12
lõputiiter,S,2
lõputseremoonia,S,1
lõputu,A,1
lõputult,D,-
lõputunnistus,S,11
lõputus,S,11
lõpuvile,S,16
lõpu-yaa,S,26
lõrinaga,D,-
lõrinal,D,-
lõrin,S,2
lõrisema,V,27
lõristama,V,27
lõrpima,V,28
lõrrama,V,29
lõss,S,22
lõtk,S,22
lõtkuma,V,28
lõtv,A,22
lõtvuma,V,27
lõtvus,"S,S","11,9"
lõuahabe,S,4
lõuajoon,S,13
lõuakas,A,2
lõualuu,S,26
lõualõksutamine,S,12
lõuamees,S,13
lõuaots,"S,S","23,22"
lõuapoolik,S,2
lõuapuu,S,26
lõuapära,S,17
lõuats,S,2
lõuatu,A,1
lõuatäis,S,14
lõuendine,A,12
lõuend,S,2
lõugama,V,29
lõugamine,S,12
lõugas,S,7
lõug,S,22
lõugne,S,2
lõugutama,V,27
lõuguti,S,1
lõugutus,S,11
lõukoer,"S,S","23,22"
lõunaaeg,S,22
lõunaedel,S,2
lõunaeestikeelne,A,2
lõunaeuroopastuma,V,27
lõunakaar,S,13
lõunakagu,S,17
lõunalaud,S,22
lõunaline,S,12
lõuna,S,6
lõunamaalane,"S,S","12,10"
lõunamaa,S,26
lõunamaine,A,10
lõunamaiselt,D,-
lõunanaaber,S,2
lõunane,"A,A","12,10"
lõunaosa,S,17
lõunapoolkera,S,17
lõunapoolne,A,2
lõuna-põhja,G,-
lõunapäike,"S,S","12,10"
lõunapäike,S,10
lõunarannik,S,2
lõunasadam,S,2
lõunaserv,S,22
lõunastama,V,27
lõunasöök,S,22
lõunatama,V,27
lõunati,D,-
lõunatoit,S,22
lõunat sööma,V,38
lõunatund,S,22
lõunatuul,S,13
lõunauinak,S,2
lõunavaheaeg,S,22
lõust,S,22
lõvikoobas,S,7
lõvilakk,S,22
lõvi,S,20
lõvi,S,17
lõviosa,S,17
lõõga,D,-
lõõgas,D,-
lõõgastama,V,27
lõõgastuma,V,27
lõõgastumine,S,12
lõõgastus,S,11
lõõg,S,22
Lõõla,H,16
lõõmama,V,29
lõõmatama,V,27
lõõmavalt,D,-
lõõmav,A,2
lõõmendama,V,27
lõõm,S,22
lõõmutama,V,27
lõõmutus,S,11
lõõpides,D,-
lõõpija,S,1
lõõpima,V,28
lõõpimine,S,12
lõõpimisi,D,-
lõõpivalt,D,-
lõõpiv,A,2
lõõpjutt,S,22
lõõp,S,22
lõõrima,V,28
lõõritama,V,27
lõõritamine,S,12
lõõritus,S,11
lõõr,S,22
lõõskama,V,29
lõõsk,S,22
lõõtsatõmbaja,S,1
lõõtsbuss,S,22
lõõtsik,S,2
lõõtskaamera,S,1
lõõts,S,22
lõõtsmoonik,S,2
lõõtspillimängija,S,1
lõõtspill,S,22
lõõtsuma,V,28
lõõtsutades,D,-
lõõtsutama,V,27
lõõtsutamine,S,12
lõõtsutus,S,11
lõõtsuv,A,2
läbematu,A,1
läbematult,D,-
läbematus,"S,S","11,9"
läbema,V,27
läbemine,S,12
läbi ajama,V,27
läbi arutama,V,27
läbi astuma,V,28
läbi,D,-
läbi elama,V,27
läbielamine,S,12
läbielamus,S,11
läbielatud,A,2
läbi jooksma,V,34
läbi,K,-
läbi kaaluma,V,28
läbikaalumata,A,-
läbikaalumatu,A,1
läbikaalumatult,D,-
läbikaalumatus,"S,S","11,9"
läbikaalutult,D,-
läbikaalutus,S,11
läbikaaluv,A,2
läbikammimine,S,12
läbikostvus,"S,S","11,9"
läbi kukkuma,V,28
läbikukkumine,S,12
läbikukkumisega,D,-
läbikukkunud,A,2
läbi kõrbema,V,27
läbikäik,S,22
läbi käima,V,38
läbikäimine,S,12
läbikäinud,A,2
läbi laskma,V,34
läbilaskvus,"S,S","11,9"
läbilastud,A,2
läbilõhki,D,-
läbi-lõhki,D,-
läbilõige,S,6
läbi lõikama,V,29
läbilõikavalt,D,-
läbilõikav,A,2
läbilõikavus,S,11
läbilõikeline,A,12
läbilöögiravim,S,2
läbilööja,S,1
läbilöök,S,22
läbi lööma,V,38
läbilöömine,S,12
läbimatu,A,1
läbimatus,"S,S","11,9"
läbima,V,27
läbiminek,S,2
läbimine,S,12
läbi minema,V,36
läbimurre,S,6
läbimõeldud,A,2
läbimõeldult,D,-
läbimõeldus,"S,S","11,9"
läbi mõtlema,V,30
läbimõtlemata,A,-
läbimõtlematu,A,1
läbimõtlematult,D,-
läbimõtlematus,"S,S","11,9"
läbimõõt,S,22
läbimärg,A,22
läbimüük,S,22
läbindaja,S,1
läbindama,V,27
läbindus,S,11
läbini,D,-
läbinisti,D,-
läbi nõrguma,V,27
läbinägelikkus,"S,S","11,9"
läbinägelik,A,25
läbinägematu,A,1
läbinägev,A,2
läbinähtamatu,A,1
läbinähtav,A,2
läbi otsima,V,28
läbiotsimine,S,12
läbipaistev,A,2
läbi paistma,V,34
läbipaistmatu,A,1
läbipaistvus,"S,S","11,9"
läbi pressima,V,28
läbiproovitud,A,2
läbiproovitus,S,11
läbipõimitud,A,2
läbipõimitus,S,11
läbi pääsema,V,27
läbipääs,S,22
läbipääsmatu,A,1
läbipääsmatus,S,11
läbireisimine,S,12
läbirääkija,S,1
läbi rääkima,V,28
läbirääkimine,S,12
läbirääkimiskomisjon,S,19
läbirääkimistelaud,S,22
läbi saama,V,37
läbisaamine,S,12
läbisegamini,D,-
läbisegatud,A,2
läbisegatus,S,11
läbisegi,D,-
läbistama,V,27
läbistikku,D,-
läbistikune,"A,A","10,12"
läbistus,S,11
läbi sugema,V,28
läbi suruma,V,27
läbisurumine,S,12
läbisõit,S,22
läbi sõitma,V,34
läbitav,A,2
läbi tegema,V,28
läbi tilkuma,V,28
läbi tungima,V,28
läbitungimatu,A,1
läbitungimatult,D,-
läbitungimatus,"S,S","11,9"
läbitungimine,S,12
läbitungivalt,D,-
läbitungiv,A,2
läbiuurimine,S,12
läbivaatamine,S,12
läbivaatus,"S,S","11,9"
läbivalgustamine,S,12
läbivedu,S,18
läbiviidud,A,2
läbiviija,S,1
läbi viima,V,38
läbiviimine,"S,S","12,10"
läbiv,A,2
läbivus,S,11
läbi võtma,V,35
läbu,S,17
läbustama,V,27
lädinal,D,-
lädin,S,2
lädisema,V,27
lädistama,V,27
läga,S,17
lägane,A,10
lähedal,D,-
lähedale,D,-
lähedale,K,-
lähedale tooma,V,38
lähedal,K,-
lähedalolu,S,17
lähedalseisnud,A,2
lähedalt,D,-
lähedalt,K,-
lähedane,S,12
lähedasem,C,2
läheduses,D,-
lähedusest,D,-
lähedus,S,11
lähedusse,D,-
lähekuti,D,-
lähe,S,6
lähemalasuv,A,2
lähemal,D,-
lähemale,D,-
lähemale tooma,V,38
lähemale tulema,V,36
lähemalolev,A,2
lähemalolija,S,1
lähemalseisev,A,2
lähemalseisja,S,1
lähemalt,D,-
lähemalt määratlema,V,27
lähem,C,2
lähemus,S,11
lähendama,V,27
lähend,S,2
lähendus,S,11
lähenema,V,27
lähenemine,S,12
lähenev,A,2
lähestikku,D,-
lähestikune,"A,A","10,12"
lähetaja,S,1
lähetama,V,27
lähetamine,S,12
lähetatud,A,2
lähetatu,S,1
lähetus,S,11
lähetustunnistus,S,11
lähiaasta,S,1
lähiaeg,S,22
lähiajalugu,S,18
lähike,A,12
lähikondlane,"S,S","12,10"
lähikond,S,22
lähikondne,S,2
lähikonnas,D,-
lähikuu,S,26
lähilöök,S,22
lähiminevik,S,25
lähim,U,2
lähine,A,10
lähinädal,S,2
lähipäev,S,22
lähisalpi,G,-
lähis,S,9
lähistel,D,-
lähistel,K,-
lähisugulane,S,12
lähitulevik,S,25
lähitulevikus,D,-
lähivaade,S,6
lähivaatlema,V,30
lähiümbruses,D,-
lähiümbrus,"S,S","11,9"
lähker,S,2
lähteanne,S,5
lähtekoht,S,22
lähtene,A,10
lähtepositsioon,S,22
lähtepunkt,S,22
lähtestama,V,27
lähteülesanne,S,6
lähtuma,V,27
lähtuvalt,D,-
lähtuv,A,2
läide,S,6
läigahtama,V,27
läigatama,V,27
läigatus,S,11
läige,S,6
läigesti,S,1
läigitama,V,27
läigiti,S,1
läigitus,S,11
läikega,A,-
läiketu,A,1
läiketus,S,11
läikima,V,28
läikima lööma,V,38
läikiv,A,2
läiklema,V,30
läik,S,22
läila,A,16
läilakas,A,2
läilastama,V,27
läilus,"S,S","11,9"
läinudaastane,"A,A","12,10"
läinud,A,2
läinudnädalane,A,12
läinu,S,6
läitev,A,2
läitma,V,34
läituma,V,27
läitus,"S,S","11,9"
läkaköha,S,17
läkastama,V,27
läkastus,S,11
läkatama,V,27
läkiläki,S,16
läki-läki,S,16
läki,S,16
läkitaja,S,1
läkitama,V,27
läkitus,S,11
lällama,V,29
lällutaja,S,1
lällutama,V,27
lällutamine,S,12
lällutus,S,11
lämbe,A,1
lämb,S,22
lämbuma,V,27
lämbus,"S,S","11,9"
lämbuv,A,2
lämisema,V,27
lämmastik,S,25
lämmastikushape,S,6
lämmatama,V,27
lämmatamine,S,12
lämmatavkuum,A,22
lämmatav,A,2
lämmi,A,16
Lämmijärv,H,22
lämmitama,V,27
lämpjalg,S,22
ländlord,S,22
längakil,D,-
längakile,D,-
längjoon,S,13
längkriips,S,22
läng,S,22
längu,D,-
länguma,V,27
längus,D,-
längus,"S,S","11,9"
längutama,V,27
lännik,S,2
läpakas,S,2
läpane,A,10
läpastama,V,27
läpastanud,A,2
läpastus,S,11
läpatama,V,27
läpatav,A,2
läppama,V,29
läppar,S,2
läppuma,V,27
läptop,S,22
lärakas,S,2
lärin,S,2
lärisema,V,27
läristama,V,27
lärmaja,S,1
lärmakalt,D,-
lärmakas,A,2
lärmakus,S,11
lärmama,V,29
lärmav,A,2
lärmikas,A,2
lärmi lööma,V,38
lärmirikas,A,7
lärmitseja,S,1
lärmitsema,V,27
lärmitsus,S,11
lärm,S,22
lärtsakas,S,2
lärtsatama,V,27
lärtsima,V,28
lärts,"S,I",22
lärtsti,D,-
lärtsuma,V,28
lärtsutama,V,27
läte,S,6
läti,G,-
Läti,H,16
Lätimaa,H,26
lätindama,V,27
lätindus,S,11
lätistama,V,27
lätistuma,V,27
lätistus,S,11
lätlane,"S,S","12,10"
lätlanna,S,16
lätrama,V,29
lätsima,V,28
lätsti,D,-
lätsutama,V,27
lättesilm,S,22
lätu,S,16
läveesine,A,10
lävend,S,2
lävepakk,S,22
lävi,S,20
lävima,V,27
lävimine,S,12
lävis,S,9
lääbakas,A,2
lääbakil,D,-
lääbakile,D,-
läägama,V,29
lääge,A,1
läägelt,D,-
läägevõitu,D,-
läägima,V,28
läägjas,A,2
läägus,"S,S","11,9"
lääneedel,S,2
lääne-euroopa,G,-
lääneeuroopalik,A,25
lääne-ida,G,-
läänekaar,S,13
läänekallas,S,7
lääneliider,S,2
läänelik,A,25
lääneloe,S,6
läänemaa,G,-
Läänemaa,H,26
läänemaailm,S,22
läänemaine,A,10
läänemere,G,-
läänemeresoome,G,-
Läänemeri,H,20
lääneosa,S,17
läänepoolne,A,2
läänepoolsem,C,2
läänerannik,S,2
lääneriik,S,22
lääneserv,S,22
läänestuma,V,27
läänetaevas,S,7
läänetuul,S,13
läänevastane,A,10
läänimees,S,13
läänindus,S,11
läänistama,V,27
Lääniste,H,1
läänistus,S,11
läänlane,"S,S","12,10"
lään,S,22
lääpa,D,-
lääpama,V,29
lääpas,D,-
lääpjalg,S,22
lääs,S,14
läätsjas,A,2
lääts,S,22
lödi,S,17
lödine,A,10
lödistama,V,27
löga,S,17
lögane,A,10
lögastama,V,27
lömakil,D,-
lömakile,D,-
lömaks tegema,V,28
löma,A,17
lömastama,V,27
lömastuma,V,27
lömastus,S,11
lömitaja,S,1
lömitama,V,27
lömitavalt,D,-
lömitav,A,2
lömitus,S,11
lömmi,D,-
lömmi lööma,V,38
lömmis,D,-
löntsima,V,28
lörisema,V,27
löristama,V,27
lörpima,V,28
lörri ajama,V,27
lörri,D,-
lörri minema,V,36
lörris,D,-
lörtsima,V,28
lörtsim,C,2
lörtsine,A,10
lörts,S,22
lörtsti,D,-
lörtsuma,V,28
lörtsutama,V,27
lörtsutus,S,11
lösakil,D,-
lösakile,D,-
lösakil olema,V,36
lössakil,D,-
lössakile,D,-
lössi,D,-
lössi lööma,V,38
lössis,D,-
lössitama,V,27
löss,S,22
lössutama,V,27
lösutama,V,27
lötakas,A,2
lötakil,D,-
lööberdaja,S,1
lööberdama,V,27
lööberdis,S,11
lööbima,V,27
löödud,A,2
löödult,D,-
lööduna,D,-
löödu,S,1
löögijõud,S,22
löögirusikas,S,2
löögitäpsus,"S,S","11,9"
löögivalmidus,S,11
löögivalmis,A,2
lööklaine,S,6
lööklane,"S,S","12,10"
lööklaul,S,22
lööklus,"S,S","11,9"
löök,S,22
lööknumber,S,2
lööksõna,S,17
lööktööline,"S,S","12,10"
lööktöö,S,26
lööma,V,38
löömamees,S,13
löömar,S,2
löömavend,S,22
löömine,S,12
lööming,S,2
lööm,S,22
löötsakil,D,-
löövalt,D,-
lööve,S,6
lööv,A,2
lööv,S,22
löövus,"S,S","11,9"
Lübeck,H,2
lüdi,S,17
lüdima,V,27
Lüganuse,H,12
lüheldane,A,12
lühemaks jääma,V,37
lühemaks tegema,V,28
lühemalt,D,-
lühemini,D,-
lühem,C,2
lühemus,S,11
lühendama,V,27
lühendamine,S,12
lühendatult,D,-
lühendis,S,11
lühend,S,2
lühendus,S,11
lühenema,V,27
lühiaegne,A,2
lühiajaline,A,12
lühiajaliselt,D,-
lühiajalisem,C,2
lühidalt,D,-
lühidavõitu,D,-
lühidus,S,11
lühifilm,S,22
lühijutt,S,22
lühikasvuline,A,12
lühike,A,12
lühikeselt,D,-
lühikesevõitu,D,-
lühikursus,"S,S","11,9"
lühilaine,S,6
lühimaa,G,-
lühimaajooksja,S,1
lühimaajooks,S,22
lühim,U,2
lühinõupidamine,S,12
lühinägelikkus,"S,S","11,9"
lühinägelik,A,25
lühinägelikult,D,-
lühipala,S,17
lühiproosa,S,16
lühisekoht,S,22
lühis,S,9
lühistama,V,27
lühistuma,V,27
lühitutvustus,S,11
lühiuudis,S,9
lühiühendus,S,11
lühkar,S,2
lühter,S,2
lüht,S,22
lükand,S,2
lükanduks,S,14
lükatav,A,2
lükati,S,1
lüke,S,6
lükkama,V,29
lükkima,V,28
lükk,S,22
lükkuma,V,27
lükra,S,1
lükra-sisaldus,S,11
lülikas,A,2
lüli,S,17
lülima,V,27
lüline,A,10
lülisammas,S,7
lülistama,V,27
lülistuma,V,27
lülitama,V,27
lülitamine,S,12
lüliti,S,1
lülituma,V,27
lülitus,S,11
Lümanda,H,1
lümfaatiline,A,12
lümf,S,22
lümfoidkude,S,18
lümfoidne,A,2
lümfoom,S,22
lümfotsüüt,S,22
Lüneburg,H,22
lüngi,D,-
lüngis,D,-
lünki täitma,V,34
lünklikkus,S,11
lünklik,A,25
lünklikult,D,-
lünk,S,22
lüofiilne,A,2
lüpsev,A,2
lüpsik,S,2
lüpsilehm,S,22
lüpsinaine,S,12
lüpsja,S,1
lüps,S,22
lüpsma,V,32
lüpsmine,"S,S","12,10"
lürism,S,22
lüroeepiline,A,12
lürpima,V,28
lüsi,S,15
lüsoform,S,22
lütseum,"S,S","19,2"
lüüa saama,V,37
lüüasaamine,S,12
lüüasaanud,A,2
lüüasaanu,S,1
lüübeki,G,-
Lüübek,H,2
lüümik,S,2
lüümima,V,28
lüüm,S,22
lüüra,S,16
lüürika,S,1
lüürik,S,2
lüüriline,A,12
lüüriliselt,D,-
lüüsima,V,28
lüüs,S,22
lüüsuma,V,27
lüütiline,A,12
Lydia,H,1
Ly,H,26
Lync,H,22
lyoni,G,-
Lyon,H,22
maa-ala,S,17
maa-alune,A,10
maa-amet,S,2
maaarmastus,S,11
maabuma,V,27
maabumine,S,12
maabumissild,S,22
maadam,S,2
maad andma,V,34
maadeavastus,S,11
maadjas,A,2
maad kuulama,V,29
maadleja,S,1
maadlema,V,30
maadlemine,S,12
maadligi,D,-
maadligi litsuma,V,28
maadligi suruma,V,27
maadlus,"S,S","11,9"
maad võtma,V,35
maaeestlane,"S,S","12,10"
maaelanik,S,25
maaelu,S,17
maaema,S,17
maaerakond,S,22
maaettevõtlus,"S,S","11,9"
maage,S,6
maagia,S,1
maagikas,A,2
maagiline,A,12
maag,S,22
maaharija,S,1
maaharimine,S,12
maahoki,S,16
maahärra,S,16
maailmakaart,S,22
maailmakaubandus,S,11
maailmakirjandus,S,11
maailmaklass,S,22
maailmakodanik,S,25
maailmakultuur,S,22
maailmakuulsus,"S,S","11,9"
maailmakuulus,A,2
maailmakõiksus,"S,S","11,9"
maailmalava,S,17
maailmalinn,S,22
maailmalõpulugu,S,18
maailmama,D,-
maailmamajandus,S,11
maailmameister,S,2
maailmameistritiitel,S,2
maailmameistrivõistlus,"S,S","11,9"
maailmameri,S,20
maailmanimi,S,20
maailmanägemine,S,12
maailmanäitus,"S,S","11,9"
maailmaorganisatsioon,S,22
maailmapank,S,22
maailmapilt,S,22
maailmapraktika,S,1
maailmapärand,S,2
maailmarekordimees,S,13
maailmarekord,S,2
maailmaruum,S,22
maailmas,D,-
maailmastuma,V,27
maailmasõda,S,18
maailmatark,S,22
maailmatase,S,4
maailmatu,A,1
maailma tulema,V,36
maailmaturg,S,22
maailmavaade,S,6
maailmavaateline,A,12
maailmavalu,S,17
maailm,S,22
maainimene,S,12
maaisa,S,17
maajagamine,S,12
maaja,S,16
maakaart,S,22
maakamar,S,2
maakapital,S,19
maakaru,S,17
maakas,S,2
maakasutaja,S,1
maakasutus,S,11
maakasutusõigus,"S,S","11,9"
maakataster,S,2
maakatastriseadus,"S,S","11,9"
maakeel,S,13
maakene,"A,A","12,10"
maakera,S,17
maakirves,S,7
maakitsus,"S,S","11,9"
maakivi,S,17
maaklerinimekiri,S,24
maaklerlus,S,11
maakler,S,2
maak,S,22
maakne,A,2
maakodu,S,17
maakoht,S,22
maakohus,S,5
maakolgas,S,7
maakondlik,A,25
maakond,S,22
maakonnaarst,S,22
maakonnakeskus,"S,S","11,9"
maakonnaülem,S,2
maakonniti,D,-
maakool,S,22
maakoor,S,13
maakorralduskava,S,17
maakorraldus,S,11
maakorraldusosakond,S,22
maakultuur,S,22
maalahmakas,S,2
maalane,"S,S","12,10"
maalapp,S,22
maalaps,S,14
maalarakas,S,2
maaler,S,2
maalermeister,S,2
maaletooja,S,1
maale tulema,V,36
maalija,S,1
maalik,A,25
maalikunst,S,22
maalikunstnik,S,25
maaliline,A,12
maalima,V,28
maalimine,S,12
maaline,"S,S","12,10"
maaline,"A,A","12,10"
maaling,S,2
maalinn,S,22
maalinäitus,"S,S","11,9"
maaliosakond,S,22
maaliteos,S,9
maal,S,22
maamaja,S,17
maamajandus,S,11
maamaks,S,22
maamaksuseadus,"S,S","11,9"
maamees,S,13
maamesilane,S,12
maamuld,S,22
maamuna,S,17
maamõis,S,2
maamõõtja,S,1
maanaine,S,12
maandama,V,27
maanduma,V,27
maandumine,S,12
maandumiskoridor,S,19
maandur,S,2
maandus,"S,S","11,9"
maania,S,1
maaniline,A,12
maanina,S,17
maanoor,S,13
maanteelint,S,22
maanteepael,"S,S","23,22"
maantee,S,26
maanurk,S,22
Maanus,H,9
maanõunik,S,25
maaolu,S,17
maaomand,S,2
maaomanik,S,25
maapagulane,S,12
maapagu,S,18
maapakku saatma,V,34
maaparandaja,S,1
maaparandus,S,11
maapartei,S,26
maapealne,A,2
maapiirkond,S,22
maapind,S,22
maapoiss,"S,S","23,22"
maapõuevara,S,17
maapõu,S,22
maapärane,A,10
maarahvas,S,7
maarajoon,S,22
maara,S,16
maardla,S,1
Maardu,H,1
maardulane,S,12
maardulanna,S,16
maareformiseadus,"S,S","11,9"
maareformiteemaline,A,12
maareform,S,22
maare,S,6
Maarianhamina,H,1
maariba,S,17
Maarika,H,1
Maarja,H,16
maarjajää,S,26
maarjalill,S,22
Maarja-Magdaleena,H,16
maarjapäev,S,22
maarjas,S,2
maarohi,S,24
maa,S,26
maasaadik,S,2
maasaaja,S,1
maasaks,"S,S","23,22"
maasaun,S,22
maas,D,-
maaseadus,"S,S","11,9"
maasikakasvataja,S,1
maasikakasvatus,S,11
maasikane,A,12
maasikas,S,2
maasikfüüsal,S,2
maasikmari,S,24
maasikpunane,A,10
maaslamaja,S,1
Maas,H,22
maasoovija,S,1
maastik,S,25
maastikuauto,S,16
maastikumaa,S,26
maastikupilt,S,22
maast-madalast,D,-
maastrichti,G,-
Maastricht,H,22
maastuma,V,27
maastur,S,2
maasäär,S,13
maasügavus,S,11
maatasa,D,-
maatasa tegema,V,28
maateadus,"S,S","11,9"
maatriks,S,2
maatu,S,1
maatus,"S,S","11,9"
maatõuk,S,22
maatükk,S,22
maaubin,S,2
maausuline,A,12
maavaim,S,22
maavaldamine,S,12
maavalitsus,S,11
maavanem,S,2
maavara,S,17
maaviljelus,S,11
maaviljelusteadus,"S,S","11,9"
maavillane,A,10
maavõistlus,"S,S","11,9"
maavägi,S,21
maavärin,S,2
maavärisemine,S,12
maavärk,S,22
maaõli,S,17
maaõpetaja,S,1
maaõun,"S,S","23,22"
maaüksus,"S,S","11,9"
Macao,H,26
macho,S,16
Macintosh,H,22
madagaskari,G,-
Madagaskar,H,2
madalaim,U,2
madalakvaliteediline,A,12
madalal,D,-
madalale,D,-
madalalt,D,-
madalalt hindama,V,29
madalamaks minema,V,36
madalamaks tegema,V,28
madalamalasuv,A,2
madalamal,D,-
madalamale,D,-
madalamalolev,A,2
madalamalolija,S,1
madalamalseisev,A,2
madalamalseisja,S,1
madalamalt,D,-
madalam,C,2
madalapalgaline,S,12
madalasaagiline,A,12
madaldama,V,27
madaldamine,S,12
madalduma,V,27
madaldus,S,11
madalik,S,25
madalküpsetatud,S,2
madallähe,S,6
Madalmaa,H,26
madal,S,2
madalmik,S,25
madalpunkt,S,22
madalrikastama,V,27
madalrõhkkond,S,22
madalrõhk,S,22
madalrõhuala,S,17
madalrõhuhari,S,24
madalsagedus,S,11
madalseis,S,22
madalsoo,S,26
madalstart,S,22
madaluke,A,12
madalus,S,11
madalvesi,S,15
madam,S,2
madar,S,2
madeira,G,-
Madeira,H,16
madeira,S,16
madelauto,S,16
made,S,4
Madhya Pradesh,H,22
madinal,D,-
madin,S,2
Madis,H,9
madis,S,9
madistama,V,27
madjakas,S,2
madjar,S,2
madonnalik,A,25
madonna,S,16
Madras,H,9
madrats,S,2
madridi,G,-
Madrid,H,22
madrigalist,S,22
madrigal,S,19
madrus,S,9
madujas,A,2
madu,S,18
maduuss,S,22
Mae,H,26
maestro,S,1
maetud,A,2
maffiapealik,S,2
maffia,S,1
mafioosnik,S,2
mafiooso,S,16
mafiosnik,S,2
Magadan,H,19
magaja,S,1
magala,S,1
Magalhaes,H,22
magama jääma,V,37
magamaminek,S,2
magama panema,V,36
magamatu,A,1
magamatus,"S,S","11,9"
magama,V,27
magamine,S,12
magamisalus,S,9
magamisase,S,4
magamiskamber,S,2
magamiskott,S,22
magamistuba,S,18
magasiait,S,22
magasin,S,19
magas,S,2
magatama,V,27
magav,A,2
magedalt,D,-
magedana,D,-
magedus,S,11
magekas,A,2
mage,A,2
magendama,V,27
magenema,V,27
Magenta,H,16
magestama,V,27
magestuma,V,27
magestus,S,11
magevesi,S,15
magister,S,2
magistraal,S,22
magistraat,S,22
magistrand,S,19
magistrant,S,22
magistrantuur,S,22
magistritöö,S,26
magma,S,16
magnaat,S,22
magneesium,"S,S","19,2"
magneetima,V,28
magneeto,S,16
magneetuma,V,27
magneetumus,S,11
magnetiit,S,22
magnetiline,A,12
magnetiseerima,V,28
magnetiseeruma,V,27
magnetism,S,22
magnet,S,2
magnetofon,S,19
magnetomeetriline,A,12
magnetoola,S,16
Magnitogorsk,H,2
magnituud,S,22
magnoolia,S,1
magnum,S,2
Magnus,H,9
Magreb,H,22
Magritte,H,22
magujas,A,2
magu,S,18
magun,S,2
magusahimuline,A,12
magusalt,D,-
magusam,C,2
magusana,D,-
magusasti,D,-
maguslääge,A,1
magus,A,2
magus,S,2
magusroog,S,22
magussöök,S,22
magustama,V,27
magustoit,S,22
magustuma,V,27
magustus,S,11
magusus,S,11
maha ajama,V,27
maha arvama,V,29
mahaarvatis,S,11
maha arvutama,V,27
mahaarvutis,S,11
maha,D,-
mahagon,S,19
maha istuma,V,28
mahajaana,S,16
maha jahtuma,V,27
maha jahutama,V,27
mahajahutamine,S,12
maha jooma,V,38
mahajäetud,A,2
mahajäetu,S,1
mahajäetus,"S,S","11,9"
maha jätma,V,35
mahajääja,S,1
maha jääma,V,37
mahajäämus,"S,S","11,9"
mahajäänud,A,2
mahajäänu,S,6
maha kaaluma,V,28
maha kauplema,V,30
maha kirjutama,V,27
maha kiskuma,V,28
maha koksama,V,29
maha kukkuma,V,28
maha kõmmutama,V,27
maha käima,V,38
maha laadima,V,28
maha laitma,V,34
mahalaitmine,"S,S","12,10"
maha langema,V,27
maha laskma,V,34
mahalaskmine,S,12
maha loksuma,V,28
maha loksutama,V,27
maha lõhkuma,V,28
maha lööma,V,38
mahamineja,S,1
maha minema,V,36
mahamärkimine,S,12
maha müüma,V,38
mahamüümine,S,12
maha nottima,V,28
maha painutama,V,27
maha paiskama,V,29
maha panema,V,36
maha peksma,V,32
maha potsatama,V,27
maha prassima,V,28
maha põlema,V,27
maharadža,S,16
maha rahunema,V,27
maha raputama,V,27
maha rusuma,V,27
maha rõhuma,V,27
maha saama,V,37
maha salgama,V,29
maha suruma,V,27
mahasurumine,S,12
maha sõitma,V,34
maha tegema,V,28
mahategemine,S,12
mahategev,A,2
mahategija,S,1
maha tingima,V,28
mahatma,S,16
maha tõmbama,V,29
maha vaikima,V,27
maha virutama,V,27
maha võtma,V,35
mahavõtmine,S,12
mahedaks minema,V,36
mahedalt,D,-
mahedam,C,2
mahedasti,D,-
mahedik,S,25
mahedus,S,11
mahemagusalt,D,-
mahemagus,A,2
mahe,A,2
mahendama,V,27
mahendav,A,2
mahendus,S,11
mahenema,V,27
mahetoodetud,S,2
maheusk,S,22
Mahhatškala,H,26
mahhinaator,S,2
mahhinatsioon,S,22
mahhineerima,V,28
mahhism,S,22
mahitama,V,27
mahitus,S,11
mahjong,S,22
mahlajook,S,22
mahlakalt,D,-
mahlakas,A,2
mahlakus,S,11
mahlakuu,S,26
mahlane,A,10
mahlarikas,A,7
mahlarikkus,"S,S","11,9"
mahlarohkus,"S,S","11,9"
mahlastama,V,27
mahlatu,A,1
mahlatus,S,11
mahlavaene,A,10
mahlavaesus,"S,S","11,9"
mahl,S,22
mahoonia,S,1
mahorka,S,16
mahtima,V,28
mahti saama,V,37
mahti,X,-
maht,S,22
mahtra,G,-
Mahtra,H,16
mahtra,S,1
mahtrat tegema,V,28
mahtuma,V,28
mahtuv,A,2
mahtuvus,S,11
mahukas,A,2
mahukus,S,11
mahuldasa,D,-
mahuline,A,12
mahuliselt,D,-
mahutama,V,27
mahutav,A,2
